"Iron_effect_in_EXP_G_D.LogFC" "Iron_effect_in_EXP_G.LogFC" "Iron_effect_in_EXP_G_L.LogFC" "Iron_effect_in_EXP_L.LogFC" "Iron_effect_in_STAT_G_D.LogFC" "Iron_effect_in_STAT_G.LogFC" "Iron_effect_in_STAT_G_L.LogFC" "Iron_effect_in_STAT_L.LogFC" "Iron_effect_in_EXP_G_D.BH" "Iron_effect_in_EXP_G.BH" "Iron_effect_in_EXP_G_L.BH" "Iron_effect_in_EXP_L.BH" "Iron_effect_in_STAT_G_D.BH" "Iron_effect_in_STAT_G.BH" "Iron_effect_in_STAT_G_L.BH" "Iron_effect_in_STAT_L.BH"
"Rv0023" -2.09150016461987e-05 -5.02176443961407e-05 8.20727443958562e-05 -3.87897172216575e-05 0.0741106488040572 -1.10060872570026 -0.675756236075472 -0.0453025889693494 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.72167910299428 3.2132047879626e-05 0.000375279836492865 0.569073384957275
"Rv0024" -2.01301103349131e-05 7.42987369255472e-05 -2.29823802281716e-05 -0.000108263194532268 0.168788777139882 -0.256310986198829 -1.09873551668298 0.00709045417726254 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.314327274835484 0.215378635869095 2.20999605970162e-11 0.97558010820986
"Rv0025" -6.89785524894332e-05 0.000111044464471198 8.66335242225467e-05 -9.67719819540861e-05 -0.0443328140696945 -0.157324957719421 -0.591982841665489 0.0524493811412679 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.823910711909577 0.510097541334183 0.000609289171037669 0.501150356544464
"Rv0026" 0.000200546731913945 0.000199694585465722 0.000320504983096137 -0.000128421165241497 0.216682813888353 -0.149575649455308 -0.213814966856406 0.0180188220110709 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0855861741262305 0.363372320109853 0.0942828757766574 0.810058251543929
"Rv0027" 0.0003576251867979 0.00019691004893461 0.000282891180283715 0.000329883576615595 0.513734775614709 0.0324654378145168 -0.00218012594497684 0.00762292693384858 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 9.00717080712992e-05 0.90517553068102 0.990733303819488 0.958783974173263
"Rv0028" 6.43500698501428e-05 0.000188188543696212 0.000406141179910767 -0.00018305926792349 0.383968369025447 0.00881175505220108 -0.691492723985017 0.00375482891682069 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.00378046744943251 0.975015225018012 2.04803855462164e-06 0.991754214380308
"Rv0029" -0.000596144897549844 -0.00015239859464889 0.000228097155610915 0.000294505249181309 0.0716696672253262 -0.582938430368732 -0.502483078903909 0.00700796392321921 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.476069608925867 7.07995083730517e-06 3.14354518237412e-09 0.925953164461942
"Rv0030" 0.000266625412167887 0.00022192498160396 0.000197376326471002 0.000698204207317049 -0.0729350961467858 0.104233012625359 -0.321930907901917 -0.0206006093141949 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.672299856786565 0.68114554408321 0.0428285665141065 0.812823284213188
"Rv0032" -0.000274793000441763 -0.000354677599461888 9.68390133455349e-06 0.000620970333752783 0.102960683324533 0.40047922118909 0.261037213245961 0.0660888181341049 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.507881713341766 0.0933621301487496 0.0918176546429053 0.419531806898735
"Rv0034" -2.02419964537452e-05 7.71733011488648e-05 6.37867695156947e-05 -8.1128852305174e-05 -0.0553725432373976 0.0480090267748363 0.186872519289452 -0.000324394954737911 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.845733511518115 0.904016150590676 0.543858631128655 0.999854649905164
