"Iron_effect_in_EXP_G_D.BH" "Iron_effect_in_EXP_G.BH" "Iron_effect_in_EXP_G_L.BH" "Iron_effect_in_EXP_L.BH" "Iron_effect_in_STAT_G_D.BH" "Iron_effect_in_STAT_G.BH" "Iron_effect_in_STAT_G_L.BH" "Iron_effect_in_STAT_L.BH" "Phase_effects_with_Fe_G_D.BH" "Phase_effects_with_Fe_G.BH" "Phase_effects_with_Fe_G_L.BH" "Phase_effects_with_Fe_L.BH" "Phase_effects_without_Fe_G_D.BH" "Phase_effects_without_Fe_G.BH" "Phase_effects_without_Fe_G_L.BH" "Phase_effects_without_Fe_L.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G_D.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G_L.BH" "Effect_of_Fe_in_response_to_Growth_arrest_L.BH"
"Rv0025" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.823910711909577 0.510097541334183 0.000609289171037669 0.501150356544464 1.03927878451079e-08 0.501274716879541 0.129556332394188 1.56160147212975e-11 1.97538323630987e-08 0.57889949045331 0.01156585544031 2.43787390855482e-06 0.978836932004195 0.514135729503396 0.00876083226441617 0.810311710002995
"Rv0026" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0855861741262305 0.363372320109853 0.0942828757766574 0.810058251543929 2.69546658026944e-12 6.91779451154281e-07 4.83190466860595e-09 8.8597849598659e-06 4.53052605948501e-08 0.00351297078525749 0.00434555788616217 0.00337910310366887 0.460266466855373 0.351940167043624 0.0741678614408576 0.998498138481726
"Rv0027" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 9.00717080712992e-05 0.90517553068102 0.990733303819488 0.958783974173263 0.0642392153540016 0.0354984267792204 9.72948818921552e-06 5.22414568831045e-19 5.78391782106981e-07 0.0861311795831207 0.000474659682449219 5.5681898257913e-19 0.0745977524008816 0.930282963050019 0.634103507806633 0.999615955253652
"Rv0028" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.00378046744943251 0.975015225018012 2.04803855462164e-06 0.991754214380308 3.04296882361394e-05 0.000441184783610544 9.26951737682913e-12 3.6454974822569e-18 7.96200124033153e-13 0.00425920664538423 0.808394007818497 3.91715875086547e-21 0.0886301705133171 0.86992828707635 2.74473948092849e-05 0.998498138481726
"Rv0029" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.476069608925867 7.07995083730517e-06 3.14354518237412e-09 0.925953164461942 4.60079686897371e-05 1.09388898203217e-20 2.3266383266812e-19 1.39153536227813e-31 1.53792114570893e-09 0.0111491374847477 0.0847846829937815 8.8179061070417e-33 0.251330674799857 0.000503927044770337 3.02138113780129e-06 0.998498138481726
"Rv0030" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.672299856786565 0.68114554408321 0.0428285665141065 0.812823284213188 1.42491000819862e-17 7.27404299189897e-16 2.24974792063133e-15 1.50153270201417e-20 4.32182152941883e-11 1.53692933128976e-14 3.18715532991183e-06 3.90219651109342e-12 0.397559272838707 0.967743113803093 0.0663942163917045 0.805768353327026
"Rv0032" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.507881713341766 0.0933621301487496 0.0918176546429053 0.419531806898735 0.00408172645723086 4.21054103070598e-06 1.34636886694558e-15 0.00504574010210958 0.283095756543982 0.159890618155914 1.52783360957755e-09 0.115122438702634 0.372533753710022 0.0689385467788945 0.228539690818277 0.998498138481726
"Rv0034" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.845733511518115 0.904016150590676 0.543858631128655 0.999854649905164 0.0292438778719309 0.364832847688519 0.00102762230781763 0.821493291139668 0.0503024673207587 0.445401847732958 0.00799718681579089 0.855595720472821 0.967884840727738 0.974588738211213 0.718262180004086 0.999615955253652
"Rv0035" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.805856348451183 0.216036209586387 0.765489368419538 0.785936617141935 0.404937957825082 0.00145045233482063 7.93019389579031e-11 0.769048335105382 0.0830354487284014 3.05147157629195e-06 3.06451106295932e-11 0.202179305432761 0.665945374593855 0.306258964296883 0.955068118775994 0.998498138481726
"Rv0036c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.320164698028245 0.0998003647354966 0.000345433478758403 0.99375102884922 0.0133635438126122 8.4343793016259e-06 4.20414705833726e-10 0.0348345109224227 0.000769796643814462 7.02534823662753e-10 4.12107619907084e-23 0.0539602546806763 0.646047397682279 0.185145839301138 0.0181212181978505 0.998498138481726
