"G_D_with" "G_with" "G_L_with" "L_with" "G_D_without" "G_without" "G_L_without" "L_without" "G_D_with.BH" "G_with.BH" "G_L_with.BH" "L_with.BH" "G_D_without.BH" "G_without.BH" "G_L_without.BH" "L_without.BH"
"Rv0030" 1.26340241748339 1.50306319772965 1.16035412092279 1.47451345320337 1.02160158918259 1.53112222166749 0.710838863051319 1.12010756855872 1.42491000819862e-17 7.27404299189897e-16 2.24974792063133e-15 1.50153270201417e-20 4.32182152941883e-11 1.53692933128976e-14 3.18715532991183e-06 3.90219651109342e-12
"Rv0032" -0.368618839487618 -0.908717661249929 -1.08060083856073 -0.422612466722115 -0.146348886396353 -0.28342384604014 -0.805026742152817 -0.231011202516858 0.00408172645723086 4.21054103070598e-06 1.34636886694558e-15 0.00504574010210958 0.283095756543982 0.159890618155914 1.52783360957755e-09 0.115122438702634
"Rv0034" 0.697352483613184 -0.414336591834688 -1.1084758967711 -0.0905682365750819 0.684839832001526 -0.388479801895567 -0.894898580297415 -0.0749860824930521 0.0292438778719309 0.364832847688519 0.00102762230781763 0.821493291139668 0.0503024673207587 0.445401847732958 0.00799718681579089 0.855595720472821
"Rv0035" -0.13222775499471 -0.598854624720404 -1.04189633720722 -0.0514358321824289 -0.281411951283679 -0.990386374233044 -1.06558746127544 -0.216808697082742 0.404937957825082 0.00145045233482063 7.93019389579031e-11 0.769048335105382 0.0830354487284014 3.05147157629195e-06 3.06451106295932e-11 0.202179305432761
"Rv0036c" -0.237838564532685 -0.528338882454274 -0.604069676448999 -0.217832900963844 -0.332111925144506 -0.835716387479361 -0.976058007989256 -0.19935640052023 0.0133635438126122 8.4343793016259e-06 4.20414705833726e-10 0.0348345109224227 0.000769796643814462 7.02534823662753e-10 4.12107619907084e-23 0.0539602546806763
"Rv0037c" 0.629326863218094 0.56609661418811 0.766866211608613 0.713342241101785 0.819198407504512 -0.17850737770206 0.361985305740732 0.521755194196297 4.1729137112368e-06 8.70186334912197e-05 1.48190846623232e-08 2.89827556471872e-07 2.23973779689114e-09 0.262420600261767 0.00849170408030579 0.000195572561464822
"Rv0038" 0.181484367496898 0.718727675542679 1.23110348706876 0.11432362157345 0.410035390354499 1.02741608761048 1.16464733828756 -0.150349767246237 0.115722977533227 2.00673362864451e-09 2.62832917865471e-27 0.349491135358225 0.00036148173986454 1.15462025320191e-17 1.43466017098773e-24 0.214403024165764
"Rv0039c" 0.136998144272641 0.141051985862308 -0.619278378043124 -0.968237349774995 0.251162978568124 0.479354391147442 0.12025799241194 -0.909822942418086 0.541263724597495 0.582250424546352 0.00555423272087966 2.49722238086071e-05 0.27468066673293 0.0547891222745851 0.599828009206826 7.74325324549957e-05
"Rv0040c" -0.939007225777703 -1.41280759887585 -2.56560376045192 -0.838152349441776 -0.818791638121637 -1.25085134830946 -1.85027484814996 -0.781681672143106 1.73093233496087e-09 2.32831519721308e-16 1.0138033074319e-57 1.18945100076872e-07 2.36608759830662e-07 3.69728438254464e-12 1.47558151199604e-31 9.26877921135816e-07
"Rv0041" 0.238586889862165 -0.257353959680943 -0.564310462154716 0.0855840109467595 0.23410288913047 -0.382492733560443 -1.09421864263606 0.134015366906996 0.0274718804184805 0.0261057612409 1.51117546833961e-07 0.452915348204611 0.0317412360049934 0.00137642135632041 2.94317118920236e-24 0.232491402942906
"Rv0042c" -1.02766482180248 -1.3766993945013 -2.06184520612309 -0.811280298578963 -1.21894497894947 -1.66169265461549 -2.07298728062109 -0.702040152920129 2.9189898466839e-13 7.74968536406366e-16 2.48332869281822e-43 2.17239768864259e-08 3.69162926043204e-17 2.94910819422774e-18 1.19086518508259e-43 1.27263015570842e-06
"Rv0043c" -0.0481063518908121 -0.629332370476043 -0.725041977943228 0.27360388800295 -0.308904764727874 -1.0128132194439 -0.591266717469931 0.14385594850564 0.661335075477563 1.74909246773536e-05 2.12701547920421e-10 0.0161650129282196 0.00722872414148132 1.62008605595278e-08 1.93620381643086e-07 0.218815821995417
"Rv0044c" -0.401649774449001 -0.807144722083526 -0.36820087879998 0.0625584363700668 -0.782363337580549 -1.27168568030794 -0.0647884320332686 -0.00694858788868901 0.000306684582861787 9.25766498475722e-08 0.0016996190732921 0.606094240722966 2.75203751257012e-11 1.50197702293354e-11 0.589770983536387 0.957013621687129
"Rv0045c" -0.299262998415878 1.7266253380323 0.671264263780733 1.09197055680788 0.222368677728076 1.37688294585283 1.48993099548234 1.13095014966431 0.0787677917107231 3.80525699723109e-24 6.03994624764792e-05 8.82110997602459e-11 0.197890300135151 5.56219424351868e-15 1.85070389208523e-19 1.97221757317898e-11
"Rv0046c" 0.902452571529462 2.78821613035479 1.87845647172189 2.54455457222597 1.67681739851174 3.00832528248132 2.67814885388205 2.85826116892698 1.13706936414129e-08 1.44530672361906e-69 9.59770947024537e-33 1.56363663246145e-58 2.11365548394561e-26 1.95744605957331e-80 1.00757972251447e-64 4.05066536751972e-73
"Rv0047c" -0.811246981606552 2.99837903202769 1.59574058719112 0.9508958648528 -0.148402219520901 2.96635689488388 2.44278363768081 1.15262985522855 0.00079311431672867 2.5337583931158e-34 5.21707424242008e-11 9.4320844140804e-05 0.558171926144324 3.26286684613502e-33 1.5961078929083e-23 2.18585558247143e-06
"Rv0048c" 0.836340583485996 2.33721776254868 1.65650260726362 1.1099101196055 1.20447304407642 2.66763732816365 2.0915054115889 0.950642867987856 1.61462596510685e-13 5.06463392673523e-92 5.28676699559751e-50 1.00441491127927e-21 3.40567159706616e-26 4.90993253021929e-118 1.80708134207046e-79 4.34587755526321e-16
"Rv0049" 0.162087806129776 -0.123762747864951 0.337882468493208 0.213513573605616 0.578991907365505 0.888269613281287 0.744386459772868 -0.0514644320603313 0.0983724598887269 0.287527068297038 0.000424124669152669 0.0370624636221057 3.45340868737273e-09 1.09160376356185e-16 3.58491480434051e-15 0.631155649399538
"Rv0050" -0.396584842335954 -1.15242525977657 -0.227204671941757 -0.128837457204951 -0.401329680029188 -0.288559090882924 -0.173376819883753 -0.206538544879046 0.000409358863971447 1.85074447323083e-23 0.0454479020646439 0.268543714188132 0.00035046840596915 0.0135641920531667 0.126975086815916 0.071599871898396
"Rv0051" -1.02709593588125 -1.78309729077485 -0.881569953755829 -0.838824859670898 -1.28126117445548 -1.2959275681629 -0.947067093483788 -0.879330121144738 1.26303081973045e-31 1.10731006446236e-48 1.27408066894001e-22 9.93943251331996e-20 5.78130742039705e-45 1.27785135936659e-25 1.31401444827186e-25 3.53094725765182e-21
"Rv0052" -0.694481208139328 -1.32995188859261 -1.07701117119549 -0.482815260932472 -0.611877226184648 -0.932134834285459 -1.20969410715758 -0.648931198374896 7.52625549738598e-10 2.65434143028933e-14 4.64970151829577e-19 7.51432865365354e-05 2.2314459585226e-07 1.23816433438731e-07 5.07948711667523e-23 1.56485414109792e-07
"Rv0053" 1.6444958982704 1.09814743257046 0.830639297549827 2.54175981929072 1.39028328786007 0.690348350605164 0.788881566251832 2.38773008639489 1.0356560148316e-25 1.88187815706705e-11 9.07086173141378e-08 5.98508110326354e-58 1.97712454338015e-18 7.8134591086054e-05 4.20869988246318e-07 6.77959939952368e-51
"Rv0054" -0.458848947796547 -0.0098422186503941 0.146168585003559 1.03737326711112 -0.108943447939818 -0.0359719492701239 1.94958379108956 0.876129943499088 0.000355846853885908 0.948086016871745 0.264318509384776 9.88914713104578e-16 0.403861653568626 0.821253952071803 7.24856614869065e-55 1.29307855909871e-11
"Rv0055" -0.412366057156837 -0.763693784833383 -0.74471319749923 0.896699573115001 -0.211620752644323 -0.865574914531816 1.48935033527761 1.04512870016542 0.00172098418596821 1.33830091700657e-05 4.10555305707945e-08 4.94678725993785e-11 0.126219166831306 1.84806447757974e-05 4.62285884437118e-32 1.65018940318657e-14
"Rv0056" -0.173294057597527 -1.08978583415772 -0.768824920821588 1.09386084281158 -0.125159841849889 -0.948420936647424 1.09682406526154 1.0368436366557 0.148843023981481 7.53523897863755e-15 1.81897198519771e-10 5.48244335250901e-20 0.306960227449533 3.6505530806323e-10 3.40169868756243e-21 5.24351039036664e-18
"Rv0057" -1.19474512336643 -1.52665547498669 -0.885601679632036 -0.607800145008816 -1.36836067514664 -1.47430064406799 0.768982486692341 -0.565336316268397 1.21672612292155e-31 3.80053283785931e-25 2.66475293760443e-16 4.5479657947824e-08 3.64395582202864e-38 3.84783051077009e-19 3.82847237488825e-14 3.98445787339529e-07
"Rv0058" -2.16997093764015 -2.29826406246959 -2.17792513234185 -0.216749270300944 -1.72790977285981 -1.36948592385638 -0.19191647445396 -0.468548587472686 1.82961301254114e-27 3.54793831234906e-28 4.47362346389842e-27 0.299898353075863 6.75063047323711e-18 5.28959938205121e-11 0.355837107939429 0.0218609654855661
"Rv0059" -2.13551280949959 -2.24444657279184 -1.84221413984868 -0.584842243155343 -1.88076657914058 -1.5711702534718 -1.03096604651162 -0.686240785419973 2.98125041993946e-26 5.20108697865721e-19 1.78666433511617e-18 0.00471973127072212 2.67628521579696e-20 1.44356627089025e-10 6.62248199206398e-07 0.000924574685281791
"Rv0060" -0.793077070194679 -0.434004126654551 0.214164246117899 0.330477649712746 -0.0762937702763086 0.135903175887601 1.20497455900082 0.192016689114832 1.35855575905644e-10 0.0013284642242553 0.095040215595776 0.00945423616783703 0.546666861143291 0.321113684989989 1.88561164882234e-22 0.136589802802509
"Rv0061c" 1.69777389184582 0.392060336002656 0.102788532537923 2.06442485910803 1.84479716429344 0.011937571143875 0.280296669803978 1.94093358200853 6.29229002830599e-36 0.00609809204421834 0.465393135579097 5.99332360223382e-52 9.8348329825291e-42 0.941434217971296 0.0431728706347592 5.22856456370104e-46
"Rv0062" 0.197843058646492 -1.73619954821878 -2.76684705899414 -0.61472499695482 -0.544792084587331 -1.17249658583766 -2.5691969812865 -1.00951414109247 0.236178194382361 9.98693324177443e-17 3.07932659330159e-61 0.000816838092467613 0.00150099913929093 5.6939584765193e-08 5.24305911613882e-52 6.35683217730687e-08
"Rv0063" -1.05099679004606 -1.06675274129812 -2.37056017240889 -0.143832071120332 -1.24136190679386 -0.770935765958114 -2.60073683884387 -0.18251898823488 9.55121531220208e-15 2.20845109679627e-10 2.95493375999644e-61 0.313926764238139 5.60711523890004e-19 1.3264952073223e-05 2.40793287977321e-69 0.198737477231273
"Rv0063a" -0.471636917361081 0.687334984156568 2.36364088655084 0.411985738135355 -0.00172086817940542 1.36314362388193 1.78626259301648 0.273867145187367 0.00540875036386856 0.000323301026291195 1.46006188673638e-45 0.0212485248634038 0.992101169808275 1.03511925177403e-13 1.05686827624079e-25 0.127157549986858
"Rv0064" 0.542404535729572 1.7414342798221 2.67096796544496 1.58041608053488 1.94596711462389 2.72304144690811 2.23469988233741 1.45756163683899 0.000932074805372758 1.46540889040679e-26 4.84465402703844e-61 1.76728041547244e-22 2.22733734585169e-33 8.24065836374952e-63 3.60480147058461e-43 2.56261314027474e-19
"Rv0064A" 0.622295467801226 1.67994678051347 3.40515581729524 1.75807017937725 1.87640842153669 3.37369922639719 3.08104757996509 1.70164274179557 0.00227583735232041 1.38971203313537e-12 3.09613715820929e-61 1.04424879047367e-17 3.79729047926709e-21 2.58709081786231e-53 2.95652288211069e-51 2.27993343547914e-16
"Rv0065" 0.753825688262085 1.09577695626265 1.81165946882424 1.08512230471355 1.53078004561462 2.16757860026778 2.03791478020916 0.949817517523274 8.01802997479022e-06 3.03585137940424e-09 2.50396780686739e-27 2.29269601014666e-10 9.09891955660559e-20 2.20791623398116e-34 4.6312349379119e-34 3.66625229408424e-08
"Rv0066c" 0.0613596943051673 0.0397317550274297 -0.0599097234407518 -0.329985215335042 0.111909973892443 -0.917036905368441 -0.814885325690599 -0.263158731520864 0.678462217549781 0.804811601688946 0.694507083324571 0.0263842057088649 0.449488450433446 2.93083608160808e-09 2.57639397218242e-08 0.0775714801420137
"Rv0067c" -0.0380912096441343 0.402674722030469 -0.0777429697222582 -0.728102801915178 -0.279861303708294 -0.325123064912229 -0.719941670278536 -0.523133024707416 0.779130559409626 0.0235240541954291 0.634636542870953 3.27367558339135e-06 0.0487859368799492 0.157354750960146 1.37270622548473e-05 0.000816534471986443
