"Iron_effect_in_STAT_L.LogFC" "Iron_effect_in_STAT_L.BH" "Pattern_L_stat" "RV"
"Rv3486" 0.247048226644329 0.0355896573771837 "UP" "Rv3486"
"Rv3487c" 0.282844955116484 0.0371917183654038 "UP" "Rv3487c"
"Rv3523" -0.662217306372052 1.72079942429104e-05 "DOWN" "Rv3523"
"Rv3660c" -0.683424472774982 0.00442026176929901 "DOWN" "Rv3660c"
"Rv3749c" -0.725063900014179 4.39928278137636e-08 "DOWN" "Rv3749c"
"Rv3750c" -0.666177050928262 8.21120728639527e-06 "DOWN" "Rv3750c"
"Rv3761c" -0.267200803484217 0.0357101037956356 "DOWN" "Rv3761c"
"Rv3778c" 0.27867466985357 0.00800362200646636 "UP" "Rv3778c"
"Rv3839" 4.96022481567599 7.13304961781839e-151 "UP" "Rv3839"
"Rv3840" 2.52851456728683 5.1407013555367e-40 "UP" "Rv3840"
"Rv3841" -4.75564307739024 8.48029037857493e-114 "DOWN" "Rv3841"
"Rv3842c" -2.82174187222969 8.63656167960172e-78 "DOWN" "Rv3842c"
"Rv3846" -0.7285939316406 0.000145179045751818 "DOWN" "Rv3846"
"RVnc0004" -0.78818860138746 3.55613660762625e-08 "DOWN" "RVnc0004"
